CPU 0:
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000004
CPUID 0000000b: 00000006-00000018-00000201-00000004
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 3:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-06400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000006
CPUID 0000000b: 00000006-00000018-00000201-00000006
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 4:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-08400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000008
CPUID 0000000b: 00000006-00000018-00000201-00000008
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 5:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-12400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000012
CPUID 0000000b: 00000006-00000018-00000201-00000012
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 6:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-14400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000014
CPUID 0000000b: 00000006-00000018-00000201-00000014
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 7:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-20400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000020
CPUID 0000000b: 00000006-00000018-00000201-00000020
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 8:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-24400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000024
CPUID 0000000b: 00000006-00000018-00000201-00000024
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
CPUID 80000004: 322e3320-7a484730-00000000-00000000
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 0000302e-00000000-00000000-00000000
CPUID 80860000: 00000c80-00001068-00000064-00000000
CPUID c0000000: 00000c80-00001068-00000064-00000000
CPU 9:
CPUID 00000000: 00000016-756e6547-6c65746e-49656e69
CPUID 00000001: 00050654-26400800-7ffefbf7-bfebfbff
CPUID 00000002: 76036301-00f0b6ff-00000000-00c30000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 7c004121-01c0003f-0000003f-00000000
CPUID 00000004: 7c004122-01c0003f-0000003f-00000000
CPUID 00000004: 7c004143-03c0003f-000003ff-00000000
CPUID 00000004: 7c0fc163-0280003f-00008fff-00000004
CPUID 00000005: 00000000-00000000-00000000-00002020
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-d39ffffb-00000018-9c002400
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000a: 07300804-00000000-00000000-00000603
CPUID 0000000b: 00000001-00000002-00000100-00000026
CPUID 0000000b: 00000006-00000018-00000201-00000026
CPUID 0000000c: 00000000-00000000-00000000-00000000
CPUID 0000000d: 000002ff-00000a88-00000a88-00000000
CPUID 0000000d: 0000000f-00000a08-00000100-00000000
CPUID 0000000d: 00000100-00000240-00000000-00000000
CPUID 0000000d: 00000040-000003c0-00000000-00000000
CPUID 0000000d: 00000040-00000400-00000000-00000000
CPUID 0000000d: 00000040-00000440-00000000-00000000
CPUID 0000000d: 00000200-00000480-00000000-00000000
CPUID 0000000d: 00000400-00000680-00000000-00000000
CPUID 0000000d: 00000080-00000000-00000001-00000000
CPUID 0000000d: 00000008-00000a80-00000000-00000000
CPUID 0000000e: 00000000-00000000-00000000-00000000
CPUID 0000000f: 00000000-0000008f-00000000-00000002
CPUID 0000000f: 00000000-00012000-0000008f-00000007
CPUID 00000010: 00000000-0000000a-00000000-00000000
CPUID 00000010: 0000000a-00000600-00000004-0000000f
CPUID 00000010: 00000059-00000000-00000004-00000007
CPUID 00000011: 00000000-00000000-00000000-00000000
CPUID 00000012: 00000000-00000000-00000000-00000000
CPUID 00000013: 00000000-00000000-00000000-00000000
CPUID 00000014: 00000001-0000000f-00000007-00000000
CPUID 00000014: 02490002-003f3fff-00000000-00000000
CPUID 00000015: 00000002-00000100-00000000-00000000
CPUID 00000016: 00000c80-00001068-00000064-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000121-2c100800
CPUID 80000002: 65746e49-2952286c-6f655820-2952286e
CPUID 80000003: 6c6f4720-31362064-43203634-40205550
