CPUID Registers (CPU #1):
CPUID 00000004: 1C03C163-03C0003F-00001FFF-00000006
CPUID 00000005: 00000040-00000040-00000003-00001120
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-00000281-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07300403-00000000-00000000-00000603
CPUID 0000000B: 00000001-00000002-00000100-00000002
CPUID 0000000B: 00000004-00000008-00000201-00000002
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000240-00000340-00000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-28100000
CPUID 80000002: 20202020-6E492020-286C6574-58202952
CPUID 80000003: 286E6F65-43202952-45205550-32312D33
CPUID 80000004: 56203033-20402032-30332E33-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #4 Virtual):
CPUID 00000000: 0000000D-756E6547-6C65746E-49656E69
CPUID 00000001: 000306A9-03100800-7FBAE3FF-BFEBFBFF
CPUID 00000002: 76035A01-00F0B2FF-00000000-00CA0000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C004121-01C0003F-0000003F-00000000
CPUID 00000004: 1C004122-01C0003F-0000003F-00000000
CPUID 00000004: 1C004143-01C0003F-000001FF-00000000
CPUID 00000004: 1C03C163-03C0003F-00001FFF-00000006
CPUID 00000005: 00000040-00000040-00000003-00001120
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-00000281-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07300403-00000000-00000000-00000603
CPUID 0000000B: 00000001-00000002-00000100-00000003
CPUID 0000000B: 00000004-00000008-00000201-00000003
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000240-00000340-00000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-28100000
CPUID 80000002: 20202020-6E492020-286C6574-58202952
CPUID 80000003: 286E6F65-43202952-45205550-32312D33
CPUID 80000004: 56203033-20402032-30332E33-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #5):
CPUID 00000000: 0000000D-756E6547-6C65746E-49656E69
CPUID 00000001: 000306A9-04100800-7FBAE3FF-BFEBFBFF
CPUID 00000002: 76035A01-00F0B2FF-00000000-00CA0000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C004121-01C0003F-0000003F-00000000
CPUID 00000004: 1C004122-01C0003F-0000003F-00000000
CPUID 00000004: 1C004143-01C0003F-000001FF-00000000
CPUID 00000004: 1C03C163-03C0003F-00001FFF-00000006
CPUID 00000005: 00000040-00000040-00000003-00001120
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-00000281-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07300403-00000000-00000000-00000603
CPUID 0000000B: 00000001-00000002-00000100-00000004
CPUID 0000000B: 00000004-00000008-00000201-00000004
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000240-00000340-00000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-28100000
CPUID 80000002: 20202020-6E492020-286C6574-58202952
CPUID 80000003: 286E6F65-43202952-45205550-32312D33
CPUID 80000004: 56203033-20402032-30332E33-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #6 Virtual):
CPUID 00000000: 0000000D-756E6547-6C65746E-49656E69
CPUID 00000001: 000306A9-05100800-7FBAE3FF-BFEBFBFF
CPUID 00000002: 76035A01-00F0B2FF-00000000-00CA0000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C004121-01C0003F-0000003F-00000000
CPUID 00000004: 1C004122-01C0003F-0000003F-00000000
CPUID 00000004: 1C004143-01C0003F-000001FF-00000000
CPUID 00000004: 1C03C163-03C0003F-00001FFF-00000006
CPUID 00000005: 00000040-00000040-00000003-00001120
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-00000281-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07300403-00000000-00000000-00000603
CPUID 0000000B: 00000001-00000002-00000100-00000005
CPUID 0000000B: 00000004-00000008-00000201-00000005
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000240-00000340-00000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-28100000
CPUID 80000002: 20202020-6E492020-286C6574-58202952
CPUID 80000003: 286E6F65-43202952-45205550-32312D33
CPUID 80000004: 56203033-20402032-30332E33-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #7):
CPUID 00000000: 0000000D-756E6547-6C65746E-49656E69
CPUID 00000001: 000306A9-06100800-7FBAE3FF-BFEBFBFF
CPUID 00000002: 76035A01-00F0B2FF-00000000-00CA0000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C004121-01C0003F-0000003F-00000000
CPUID 00000004: 1C004122-01C0003F-0000003F-00000000
CPUID 00000004: 1C004143-01C0003F-000001FF-00000000
CPUID 00000004: 1C03C163-03C0003F-00001FFF-00000006
CPUID 00000005: 00000040-00000040-00000003-00001120
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-00000281-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07300403-00000000-00000000-00000603
CPUID 0000000B: 00000001-00000002-00000100-00000006
CPUID 0000000B: 00000004-00000008-00000201-00000006
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000240-00000340-00000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-28100000
CPUID 80000002: 20202020-6E492020-286C6574-58202952
CPUID 80000003: 286E6F65-43202952-45205550-32312D33
CPUID 80000004: 56203033-20402032-30332E33-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #8 Virtual):
CPUID 00000000: 0000000D-756E6547-6C65746E-49656E69
CPUID 00000001: 000306A9-07100800-7FBAE3FF-BFEBFBFF
CPUID 00000002: 76035A01-00F0B2FF-00000000-00CA0000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C004121-01C0003F-0000003F-00000000
CPUID 00000004: 1C004122-01C0003F-0000003F-00000000
CPUID 00000004: 1C004143-01C0003F-000001FF-00000000
CPUID 00000004: 1C03C163-03C0003F-00001FFF-00000006
CPUID 00000005: 00000040-00000040-00000003-00001120
CPUID 00000006: 00000077-00000002-00000009-00000000
CPUID 00000007: 00000000-00000281-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07300403-00000000-00000000-00000603
CPUID 0000000B: 00000001-00000002-00000100-00000007
CPUID 0000000B: 00000004-00000008-00000201-00000007
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000240-00000340-00000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-28100000
CPUID 80000002: 20202020-6E492020-286C6574-58202952
CPUID 80000003: 286E6F65-43202952-45205550-32312D33
CPUID 80000004: 56203033-20402032-30332E33-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
